"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT"
"De Nora India Limited","5308634","2849500","    53.68","2459134","0","     0.00","     0.00","23-Nov-2020 11:30:15","67213","5209015","1.29"
"Deccan Cements Limited","14007500","7878348","    56.24","6129152","0","     0.00","     0.00","23-Nov-2020 11:30:10","269774","13812173","1.95"
"Deepak Fertilizers And Petrochemicals Corporation Limited","89284425","46602521","    52.20","42681904","35281977","    75.71","    39.52","23-Nov-2020 11:30:08","3592677","98093572","3.66"
"Deepak Nitrite Limited","136393041","62319968","    45.69","74073073","0","     0.00","     0.00","23-Nov-2020 11:30:28","3191792","135301616","2.36"
"Delta Corp Limited","266877759","88797440","    33.27","178080319","10000000","    11.26","     3.75","23-Nov-2020 11:30:25","40167467","265179497","15.15"
"Delta Manufacturing Limited","10851120","7672788","    70.71","3178332","0","     0.00","     0.00","23-Nov-2020 11:30:12","93130","10532918","0.88"
"Den Networks Limited","477223845","413402931","    86.63","63820914",,,,"23-Nov-2020 11:30:26","669757","477029698","0.14"
"Dewan Housing Finance Corporation Limited","313823024","123049714","    39.21","190773310","123049714","   100.00","    39.21","23-Nov-2020 11:30:12","9773204","313032723","3.12"
"Dhampur Sugar Mills Limited","66387590","32585637","    49.08","33801953","250000","     0.77","     0.38","23-Nov-2020 11:30:11","7390350","66137452","11.17"
"Dhani Services Limited","601624010","193349103","    32.14","408274907","0","     0.00","     0.00","23-Nov-2020 11:30:26","28629519","527101150","5.43"
"Dhanlaxmi Bank Limited","253012084","0","     0.00","253012084",,,,"23-Nov-2020 11:30:17","14340558","250857663","5.72"
"Dhanuka Agritech Limited","47578324","35683267","    75.00","11895057","1209000","     3.39","     2.54","23-Nov-2020 11:30:29","1450681","46215112","3.14"
"Dharani Sugars & Chemicals Limited","33200000","20436006","    61.55","12763994","11032168","    53.98","    33.23","23-Nov-2020 11:30:10","11274020","31690081","35.58"
"Dhunseri Investments Limited","6097178","4569999","    74.95","1527179",,,,"23-Nov-2020 11:30:28","15567","5888970","0.26"
"Dhunseri Tea & Industries Limited","7004951","4790636","    68.39","2214315","0","     0.00","     0.00","23-Nov-2020 11:30:30","58057","6958303","0.83"
"Dhunseri Ventures Limited","35024754","26268000","    75.00","8756754","0","     0.00","     0.00","23-Nov-2020 11:30:25","210394","34832575","0.6"
"DiGiSPICE Technologies Limited","227902065","169447570","    74.35","58454495","0","     0.00","     0.00","23-Nov-2020 11:30:26","498305","226781086","0.22"
"Diamond Power Infra Ltd","269710679","30770802","    11.41","238939877","30770802","   100.00","    11.41","23-Nov-2020 11:30:28","31678393","268804573","11.78"
"Digjam Limited","87641621","27527589","    31.41","60114032","3600205","    13.08","     4.11","23-Nov-2020 11:30:31","4514117","86936613","5.19"
"Diligent Media Corporation Limited","117708018","73173769","    62.17","44534249","8830306","    12.07","     7.50","23-Nov-2020 11:30:32","9894560","117626038","8.41"
"Dilip Buildcon Limited","136769768","102571368","    75.00","34198400","25881347","    25.23","    18.92","23-Nov-2020 11:30:31","27757729","136769668","20.3"
"Dish TV India Limited","1841287514","235787207","    12.81","1605500307","170091845","    72.14","     9.24","23-Nov-2020 11:30:24","185570183","1840929177","10.08"
"Divi's Laboratories Limited","265468580","137934360","    51.96","127534220","0","     0.00","     0.00","23-Nov-2020 11:30:19","2108880","265271594","0.79"
"Dolphin Offshore Enterprises (India) Limited","16772518","9195954","    54.83","7576564","6090192","    66.23","    36.31","23-Nov-2020 11:30:22","5142950","16555574","31.06"
"Donear Industries Limited","52000000","38772034","    74.56","13227966","40000","     0.10","     0.08","23-Nov-2020 11:30:23","1514965","51943674","2.92"
"Dr. Reddy's Laboratories Limited","166269279","44841582","    26.97","121427697","0","     0.00","     0.00","23-Nov-2020 11:30:08","1347671","165694046","0.81"
"Dredging Corporation of India Limited","28000000","20572013","    73.47","7427987","0","     0.00","     0.00","23-Nov-2020 11:30:19","851876","27997683","3.04"
"Ducon Infratechnologies Limited","104675117","58442569","    55.83","46232548","0","     0.00","     0.00","23-Nov-2020 11:30:30","974151","104379927","0.93"
"Dwarikesh Sugar Industries Limited","188301470","79233510","    42.08","109067960","0","     0.00","     0.00","23-Nov-2020 11:30:20","9975111","188043020","5.3"
"Dynacons Systems & Solutions Limited","9173080","4234984","    46.17","4938096","0","     0.00","     0.00","23-Nov-2020 11:30:29","174223","9133940","1.91"
"Dynamatic Technologies Limited","6341443","3093245","    48.78","3248198","475500","    15.37","     7.50","23-Nov-2020 11:30:16","549078","6276821","8.75"
"EBIXCASH WORLD MONEY INDIA LIMITED","11127890","10008200","    89.94","1119690","0","     0.00","     0.00","23-Nov-2020 11:30:29","29617","10881109","0.27"
"EID Parry India Limited","176994981","79280152","    44.79","97714829","23000","     0.03","     0.01","23-Nov-2020 11:30:14","18966559","174959843","10.84"
"EIH Associated Hotels Limited","30468147","22850316","    75.00","7617831","0","     0.00","     0.00","23-Nov-2020 11:30:11","291475","30320514","0.96"
"EIH Limited","571569414","201458239","    35.25","370111175","0","     0.00","     0.00","23-Nov-2020 11:30:12","7444467","620180631","1.2"
"EPL Limited","315565607","163973866","    51.96","151591741","0","     0.00","     0.00","23-Nov-2020 11:30:08","3478392","313820574","1.11"
"Eastern Silk Industries Limited","78952620","40488351","    51.28","38464269","40488351","   100.00","    51.28","23-Nov-2020 11:30:13","41179384","77798641","52.93"
"Eastern Sug & Inds Limited","29150100","1593039","     5.46","27557061","115000","     7.22","     0.39","23-Nov-2020 11:30:15","31115","14065700","0.22"
"Easun Reyrolle Limited","30794141","11093784","    36.03","19700357","0","     0.00","     0.00","23-Nov-2020 11:30:16","398841","30411124","1.31"
"Edelweiss Financial Services Limited","934926527","352581270","    37.71","582345257","35608000","    10.10","     3.81","23-Nov-2020 11:30:25","73608695","934335542","7.88"
"Educomp Solutions Limited","122467168","54838245","    44.78","67628923","51771578","    94.41","    42.27","23-Nov-2020 11:30:21","53858717","122463308","43.98"
"Eicher Motors Limited","273229150","134564270","    49.25","138664880","0","     0.00","     0.00","23-Nov-2020 11:30:09","1142530","270584140","0.42"
"Eimco Elecon (India) Limited","5768385","4271795","    74.06","1496590","676000","    15.82","    11.72","23-Nov-2020 11:30:15","289568","5696929","5.08"
"Elecon Engineering Company Limited","112199965","66420052","    59.20","45779913","21850000","    32.90","    19.47","23-Nov-2020 11:30:04","8261815","110460430","7.48"
"Electrosteel Castings Limited","432954709","238957776","    55.19","193996933","191371867","    80.09","    44.20","23-Nov-2020 11:30:11","87233362","431273924","20.23"
"Electrotherm (India) Limited","12742814","3990325","    31.31","8752489","300000","     7.52","     2.35","23-Nov-2020 11:30:16","1447175","11632157","12.44"
"Elgi Equipments Limited","316909016","101479962","    32.02","215429054","0","     0.00","     0.00","23-Nov-2020 11:30:12","9361095","314452401","2.98"
"Elgi Rubber Company Limited","50050000","32489587","    64.91","17560413","0","     0.00","     0.00","23-Nov-2020 11:30:29","144235","48996253","0.29"
"Emami Limited","444513740","239393412","    53.86","205120328","111329353","    46.50","    25.05","23-Nov-2020 11:30:22","107802711","443355615","24.32"
"Emami Paper Mills Limited","60499050","45358286","    74.97","15140764","0","     0.00","     0.00","23-Nov-2020 11:30:32","246242","60242471","0.41"
"Emco Limited","67909215","30720998","    45.24","37188217","0","     0.00","     0.00","23-Nov-2020 11:30:21","1117655","67757794","1.65"
"Emkay Global Financial Services Limited","24619030","18353984","    74.55","6265046","0","     0.00","     0.00","23-Nov-2020 11:30:22","1170928","24615016","4.76"
"Emmbi Industries Limited","17690250","10289935","    58.17","7400315","0","     0.00","     0.00","23-Nov-2020 11:30:27","206597","17690240","1.17"
"Energy Development Company Limited","47500000","27616041","    58.14","19883959","0","     0.00","     0.00","23-Nov-2020 11:30:25","1056537","47472394","2.23"
"Engineers India Limited","631911420","325404724","    51.50","306506696","0","     0.00","     0.00","23-Nov-2020 11:30:16","15198221","631353830","2.41"
"Entertainment Network (India) Limited","47670415","33918400","    71.15","13752015","0","     0.00","     0.00","23-Nov-2020 11:30:21","140597","47670171","0.29"
"Eon Electric Limited","16902466","10437123","    61.75","6465343","4098030","    39.26","    24.25","23-Nov-2020 11:30:29","1869928","16308312","11.47"
"Eros International Media Limited","95727437","59584302","    62.24","36143135","36721169","    61.63","    38.36","23-Nov-2020 11:30:28","19926246","95727314","20.82"
"Esab India Limited","15393020","11347960","    73.72","4045060","0","     0.00","     0.00","23-Nov-2020 11:30:13","79867","15222120","0.52"
"Escorts Limited","134834566","52336056","    38.82","82498510","0","     0.00","     0.00","23-Nov-2020 11:30:06","7754635","133693283","5.8"
"Ess Dee Aluminium Limited","32047811","18578663","    57.97","13469148","1307596","     7.04","     4.08","23-Nov-2020 11:30:23","1645860","32047551","5.14"
"Essar Shipping Limited","206976072","153920826","    74.37","53055246","21041698","    13.67","    10.17","23-Nov-2020 11:30:29","4372220","204752412","2.14"
"Ester Industries Limited","83393759","51248203","    61.45","32145556","5000000","     9.76","     6.00","23-Nov-2020 11:30:29","7016539","82425702","8.51"
"Euro Ceramics Limited","33737717","3404095","    10.09","30333622","3403895","    99.99","    10.09","23-Nov-2020 11:30:23","4926971","31260115","15.76"
"Euro Multivision Limited","23800049","11187563","    47.01","12612486","0","     0.00","     0.00","23-Nov-2020 11:30:26","41415","23799859","0.17"
"Eurotex Industries and Exports Limited","8749865","6211627","    70.99","2538238","0","     0.00","     0.00","23-Nov-2020 11:30:04","420762","8375468","5.02"
"Eveready Industries India Limited","72687260","5276506","     7.26","67410754","1811968","    34.34","     2.49","23-Nov-2020 11:30:20","8978113","71929938","12.48"
"Everest Industries Limited","15636340","7933409","    50.74","7702931","0","     0.00","     0.00","23-Nov-2020 11:30:13","578840","15456601","3.74"
"Everest Kanto Cylinder Limited","112207682","75613143","    67.39","36594539","33651600","    44.50","    29.99","23-Nov-2020 11:30:21","35087186","112206052","31.27"
"Excel Industries Limited","12570692","6685158","    53.18","5885534","0","     0.00","     0.00","23-Nov-2020 11:30:19","360322","12391654","2.91"
"Excel Realty N Infra Limited","94046337","46687206","    49.64","47359131","0","     0.00","     0.00","23-Nov-2020 11:30:26","2803006","93815901","2.99"
"Exide Industries Limited","850000000","390954666","    45.99","459045334","0","     0.00","     0.00","23-Nov-2020 11:30:04","5272208","841664353","0.63"
"Expleo Solutions Limited","10252485","5758804","    56.17","4493681","0","     0.00","     0.00","23-Nov-2020 11:30:26","207964","10252481","2.03"
"FCS Software Solutions Limited","1709553100","335962450","    19.65","1373590650","0","     0.00","     0.00","23-Nov-2020 11:30:21","76507686","1709027078","4.48"
"FDC Limited","170973084","118379910","    69.24","52593174","0","     0.00","     0.00","23-Nov-2020 11:30:16","1470432","166941220","0.88"
"Fedders Electric and Engineering Limited","33969700","17651682","    51.96","16318018",,,,"23-Nov-2020 11:30:15","401071","33482428","1.2"
"Federal-Mogul Goetze (India) Limited.","55632130","53860845","    96.82","1771285","0","     0.00","     0.00","23-Nov-2020 11:30:13","58341","55234968","0.11"
"Fertilizers and Chemicals Travancore Limited","647071974","582364776","    90.00","64707198","0","     0.00","     0.00","23-Nov-2020 11:30:04","418596","644079791","0.06"
"Fiem Industries Limited","13159830","8759157","    66.56","4400673","0","     0.00","     0.00","23-Nov-2020 11:30:22","255892","13055383","1.96"
"Filatex India Limited","220818000","133529211","    60.47","87288789","48741500","    36.50","    22.07","23-Nov-2020 11:30:29","53887504","220392900","24.45"
"Finolex Cables Limited","152939345","55092670","    36.02","97846675","0","     0.00","     0.00","23-Nov-2020 11:30:14","2904251","151532739","1.92"
"Finolex Industries Limited","124095381","65546297","    52.82","58549084","14400","     0.02","     0.01","23-Nov-2020 11:30:14","4953053","117817275","4.2"
"Firstsource Solutions Limited","694819531","389209673","    56.02","305609858","0","     0.00","     0.00","23-Nov-2020 11:30:23","24317688","695353195","3.5"
"Flexituff Ventures International Limited","24882806","8181603","    32.88","16701203","8181603","   100.00","    32.88","23-Nov-2020 11:30:29","13112295","23756991","55.19"
"Fortis Healthcare Limited","754958148","235294117","    31.17","519664031","0","     0.00","     0.00","23-Nov-2020 11:30:24","54392380","754141305","7.21"
"Foseco India Limited","6386459","4788845","    74.98","1597614","0","     0.00","     0.00","23-Nov-2020 11:30:13","46227","6338596","0.73"
"Future Consumer Limited","1921109680","750529152","    39.07","1170580528","672085610","    89.55","    34.98","23-Nov-2020 11:30:30","742147497","1920959360","38.63"
"Future Enterprises Limited","39374679","28436580","    72.22","10938099","0","     0.00","     0.00","23-Nov-2020 11:30:26","455570","39318642","1.16"
"Future Enterprises Limited","454930401","196942591","    43.29","257987810","168224739","    85.42","    36.98","23-Nov-2020 11:30:18","175452323","454468878","38.61"
"Future Lifestyle Fashions Limited","201774874","41515094","    20.57","160259780","40950638","    98.64","    20.30","23-Nov-2020 11:30:30","42840640","201452495","21.27"
"Future Market Networks Limited","57544381","41183410","    71.57","16360971","40350000","    97.98","    70.12","23-Nov-2020 11:30:28","42275468","57503575","73.52"
"Future Retail Limited","542284079","183611016","    33.86","358673063","126820361","    69.07","    23.39","23-Nov-2020 11:30:31","141277690","541315189","26.1"
"Future Supply Chain Solutions Limited","43883598","10265917","    23.39","33617681","9765817","    95.13","    22.25","23-Nov-2020 11:30:32","10600391","43883592","24.16"
"GAIL (India) Limited","4510141866","2364634013","    52.43","2145507853","0","     0.00","     0.00","23-Nov-2020 11:30:16","24252591","4509895185","0.54"
"GATI Limited","121945977","63294116","    51.90","58651861","3169350","     5.01","     2.60","23-Nov-2020 11:30:18","11493003","121060926","9.49"
"GB Global Limited","3314295","1060965","    32.01","2253330","450","     0.04","     0.01","23-Nov-2020 11:30:32","37651","3314059","1.14"
"GE Power India Limited","67227471","46102083","    68.58","21125388","0","     0.00","     0.00","23-Nov-2020 11:30:17","690297","66627225","1.04"
"GE T&D India Limited","256046535","192034901","    75.00","64011634","0","     0.00","     0.00","23-Nov-2020 11:30:09","649954","254037804","0.26"
"GFL Limited","109850000","75492611","    68.72","34357389","0","     0.00","     0.00","23-Nov-2020 11:30:05","1093099","109050500","1"
"GHCL Limited","95013286","18302810","    19.26","76710476","200244","     1.09","     0.21","23-Nov-2020 11:30:13","3484117","92644072","3.76"
"GI Engineering Solutions Limited","8611878","3395177","    39.42","5216701","0","     0.00","     0.00","23-Nov-2020 11:30:26","22973","8585248","0.27"
"GIC Housing Finance Limited","53851066","22836839","    42.41","31014227","0","     0.00","     0.00","23-Nov-2020 11:30:12","3001874","53542154","5.61"
"GKW Limited","5966500","4474875","    75.00","1491625","0","     0.00","     0.00","23-Nov-2020 11:30:26","54782","5854050","0.94"
"GM Breweries Limited","18277538","13604123","    74.43","4673415","0","     0.00","     0.00","23-Nov-2020 11:30:12","538065","17819756","3.02"
"GMR Infrastructure Limited","6035945275","3954469176","    65.52","2081476099","2910702760","    73.61","    48.22","23-Nov-2020 11:30:22","2714331279","6035226769","44.97"
"GNA Axles Limited","21465400","14491546","    67.51","6973854","2470000","    17.04","    11.51","23-Nov-2020 11:30:31","2757202","21465398","12.84"
"GOCL Corporation Limited","49572490","36600791","    73.83","12971699","0","     0.00","     0.00","23-Nov-2020 11:30:30","614417","49193470","1.25"
"GP Petroleums Limited","50984383","37312516","    73.18","13671867","0","     0.00","     0.00","23-Nov-2020 11:30:20","697937","50982436","1.37"
"GPT Infraprojects Limited","29086000","21814060","    75.00","7271940","14833860","    68.00","    51.00","23-Nov-2020 11:30:31","14904974","29085994","51.24"
"GSS Infotech Limited","16936843","3390329","    20.02","13546514","0","     0.00","     0.00","23-Nov-2020 11:30:25","4122990","16586842","24.86"
"GTL Infrastructure Limited","12406962487","420144016","     3.39","11986818471","420144016","   100.00","     3.39","23-Nov-2020 11:30:23","257410167","12311746521","2.09"
"GTL Limited","157296781","50980559","    32.41","106316222","50500000","    99.06","    32.10","23-Nov-2020 11:30:13","30189060","157089216","19.22"
"GTN Industries Limited","17540378","13038828","    74.34","4501550","6677100","    51.21","    38.07","23-Nov-2020 11:30:12","6785198","17289904","39.24"
"GTN Textiles Limited","11640478","7375739","    63.36","4264739","0","     0.00","     0.00","23-Nov-2020 11:30:22","134092","11371180","1.18"
"GTPL Hathway Limited","112463038","84347278","    75.00","28115760","0","     0.00","     0.00","23-Nov-2020 11:30:31","1180131","112463038","1.05"
"GVK Power & Infrastructure Limited","1579210400","856729340","    54.25","722481060","0","     0.00","     0.00","23-Nov-2020 11:30:21","33718230","1577053151","2.14"
"Gabriel India Limited","143643940","75765026","    52.75","67878914","0","     0.00","     0.00","23-Nov-2020 11:30:13","1881130","133795218","1.41"
"Gallantt Ispat Limited","282360720","178155380","    63.09","104205340","0","     0.00","     0.00","23-Nov-2020 11:30:28","303660","282360660","0.11"
"Gallantt Metal Limited","81322324","54674689","    67.23","26647635","510500","     0.93","     0.63","23-Nov-2020 11:30:22","706701","81322293","0.87"
"Gammon India Limited","369573105","42657154","    11.54","326915951","36153699","    84.75","     9.78","23-Nov-2020 11:30:16","38653318","361208505","10.7"
"Gammon Infrastructure Projects Limited","941830724","193999800","    20.60","747830924","193999800","   100.00","    20.60","23-Nov-2020 11:30:26","215875549","941828121","22.92"
"Gandhi Special Tubes Limited","12918616","9480698","    73.39","3437918","0","     0.00","     0.00","23-Nov-2020 11:30:23","45670","12486035","0.37"
"Ganesh Housing Corporation Limited","49227090","26762084","    54.36","22465006","1111500","     4.15","     2.26","23-Nov-2020 11:30:16","2863776","48900157","5.86"
"Ganesha Ecosphere Limited","21829397","8930041","    40.91","12899356","0","     0.00","     0.00","23-Nov-2020 11:30:30","532235","21338348","2.49"
"Gangotri Textiles Limited","32614634","8000457","    24.53","24614177","5987593","    74.84","    18.36","23-Nov-2020 11:30:22","6101633","32188494","18.96"
"Garden Silk Mills Limited","42082525","24251994","    57.63","17830531","21462087","    88.50","    51.00","23-Nov-2020 11:30:13","21973391","41047638","53.53"
"Gateway Distriparks Limited","124835908","40123283","    32.14","84712625","7500000","    18.69","     6.01","23-Nov-2020 11:30:20","7562265","124835791","6.06"
"Gayatri Highways Limited","239651900","146554710","    61.15","93097190","146449310","    99.93","    61.11","23-Nov-2020 11:30:32","162655997","239649619","67.87"
"Gayatri Projects Limited","187198685","84568607","    45.18","102630078","82272707","    97.29","    43.95","23-Nov-2020 11:30:29","91847027","187198465","49.06"
"GeeCee Ventures Limited","20911729","14159942","    67.71","6751787","0","     0.00","     0.00","23-Nov-2020 11:30:22","118563","20912678","0.57"
"Genesys International Corporation Limited","31143712","14990902","    48.13","16152810","786046","     5.24","     2.52","23-Nov-2020 11:30:19","1271384","31183034","4.08"
"Genus Paper & Boards Limited","257125940","129811956","    50.49","127313984","3300000","     2.54","     1.28","23-Nov-2020 11:30:30","1420092","254412502","0.56"
"Genus Power Infrastructures Limited","257358965","129886109","    50.47","127472856","8450000","     6.51","     3.28","23-Nov-2020 11:30:21","15476462","255364689","6.06"
"Geojit Financial Services Limited","238299760","148258345","    62.22","90041415","0","     0.00","     0.00","23-Nov-2020 11:30:21","5470264","238099138","2.3"
"Gillanders Arbuthnot & Company Limited","21342346","14671715","    68.74","6670631","0","     0.00","     0.00","23-Nov-2020 11:30:27","401657","20916073","1.92"
"Gillette India Limited","32585217","24437803","    75.00","8147414",,,,"23-Nov-2020 11:30:13","1449176","32506940","4.46"
"Ginni Filaments Limited","70650065","44717283","    63.29","25932782","17700000","    39.58","    25.05","23-Nov-2020 11:30:09","18472218","69787242","26.47"
"Girdharilal Sugar and Allied Industries Limited","19168887","12888291","    67.24","6280596","0","     0.00","     0.00","23-Nov-2020 11:30:10",,,
"Gitanjali Gems Limited","118616005","32926361","    27.76","85689644","25866102","    78.56","    21.81","23-Nov-2020 11:30:22","24828895","118550246","20.94"
"GlaxoSmithKline Pharmaceuticals Limited","169406034","127054524","    75.00","42351510","0","     0.00","     0.00","23-Nov-2020 11:30:13","1005791","167136038","0.6"
"Glenmark Pharmaceuticals Limited","282168156","131567217","    46.63","150600939","0","     0.00","     0.00","23-Nov-2020 11:30:17","3931118","281138612","1.4"
"Global Offshore Services Limited","24728793","8184706","    33.10","16544087","0","     0.00","     0.00","23-Nov-2020 11:30:24","923887","24019997","3.85"
"Global Vectra Helicorp Limited","14000000","10500000","    75.00","3500000","0","     0.00","     0.00","23-Nov-2020 11:30:22","179949","13999949","1.29"
"Globus Spirits Limited","28799268","16093363","    55.88","12705905","0","     0.00","     0.00","23-Nov-2020 11:30:26","810868","28797319","2.82"
"Goa Carbon Limited","9151052","5464989","    59.72","3686063","0","     0.00","     0.00","23-Nov-2020 11:30:17","183308","8936890","2.05"
"Godawari Power And Ispat limited","35236247","23785853","    67.50","11450394","7731846","    32.51","    21.94","23-Nov-2020 11:30:22","9485753","35235615","26.92"
"Godfrey Phillips India Limited","51993920","37581574","    72.28","14412346","0","     0.00","     0.00","23-Nov-2020 11:30:14","648360","51258963","1.26"
"Godrej Consumer Products Limited","1022486273","646488267","    63.23","375998006","4263670","     0.66","     0.42","23-Nov-2020 11:30:18","2090014","1014217874","0.21"
"Godrej Industries Limited","336520067","218610051","    64.96","117910016","12708635","     5.81","     3.78","23-Nov-2020 11:30:19","1162988","336148352","0.35"
"Godrej Properties Limited","252080740","162433533","    64.44","89647207","0","     0.00","     0.00","23-Nov-2020 11:30:27","1852676","252051408","0.74"
"Goenka Diamond and Jewels Limited","317000000","182429250","    57.55","134570750","0","     0.00","     0.00","23-Nov-2020 11:30:27","6741062","316986485","2.13"
"Gokaldas Exports Limited","42825663","14205348","    33.17","28620315","0","     0.00","     0.00","23-Nov-2020 11:30:20","1149597","42895048","2.68"
"Gokul Agro Resources Limited","131895000","94695106","    71.80","37199894","15000000","    15.84","    11.37","23-Nov-2020 11:30:31","19683372","131888710","14.92"
"Gokul Refoils and Solvent Limited","131895000","71223772","    54.00","60671228","0","     0.00","     0.00","23-Nov-2020 11:30:26","4731823","98989585","4.78"
"Golden Tobacco Limited","17608802","5290099","    30.04","12318703","0","     0.00","     0.00","23-Nov-2020 11:30:13","210312","16254142","1.29"
"Goldiam International Limited","22174923","14664172","    66.13","7510751","0","     0.00","     0.00","23-Nov-2020 11:30:21","952570","21953197","4.34"
"Goldstone Technologies Limited","18782066","3534153","    18.82","15247913","0","     0.00","     0.00","23-Nov-2020 11:30:18","275792","18624937","1.48"
"Granules India Limited","247640796","104110386","    42.04","143530410","9000000","     8.64","     3.63","23-Nov-2020 11:30:21","19209514","247441206","7.76"
"Graphite India Limited","195375594","127659645","    65.34","67715949","0","     0.00","     0.00","23-Nov-2020 11:30:11","5102397","193960237","2.63"
"Grasim Industries Limited","657928218","270550109","    41.12","387378109","0","     0.00","     0.00","23-Nov-2020 11:30:14","16948502","638240959","2.66"
"Gravita India Limited","69037914","51086789","    74.00","17951125","0","     0.00","     0.00","23-Nov-2020 11:30:28","1241685","69032283","1.8"
"Greaves Cotton Limited","231206795","126749177","    54.82","104457618","0","     0.00","     0.00","23-Nov-2020 11:30:14","4232215","229289670","1.85"
"Greenply Industries Limited","122627395","63788407","    52.02","58838988","0","     0.00","     0.00","23-Nov-2020 11:30:15","6201026","122559535","5.06"
"Grindwell Norton Limited","110720000","64574772","    58.32","46145228","0","     0.00","     0.00","23-Nov-2020 11:30:22","684295","109909572","0.62"
"Gufic Biosciences Limited","77830000","51176372","    65.75","26653628","0","     0.00","     0.00","23-Nov-2020 11:30:20","1657023","77715004","2.13"
"Gujarat Alkalies and Chemicals Limited","73436928","33986310","    46.28","39450618","0","     0.00","     0.00","23-Nov-2020 11:30:13","2687667","72518019","3.71"
"Gujarat Ambuja Exports Limited","114667665","73199492","    63.84","41468173","0","     0.00","     0.00","23-Nov-2020 11:30:18","3561030","211804876","1.68"
"Gujarat Apollo Industries Limited","12661915","7141651","    56.40","5520264","0","     0.00","     0.00","23-Nov-2020 11:30:16","153629","12481876","1.23"
"Gujarat Industries Power Company Limited","151251188","84236161","    55.69","67015027","0","     0.00","     0.00","23-Nov-2020 11:30:12","3347519","150375699","2.23"
"Gujarat Lease Financing Limited","27125767","12387222","    45.67","14738545","0","     0.00","     0.00","23-Nov-2020 11:30:14","81084","24423315","0.33"
"Gujarat Mineral Development Corporation Limited","318000000","235320000","    74.00","82680000","0","     0.00","     0.00","23-Nov-2020 11:30:16","8439536","317512650","2.66"
"Gujarat NRE Coke Limited","1604548645","406914064","    25.36","1197634581","200915089","    49.38","    12.52","23-Nov-2020 11:30:16","209661039","1601488176","13.09"
"Gujarat NRE Coke Limited","52488010","17501468","    33.34","34986542","17501468","   100.00","    33.34","23-Nov-2020 11:30:27","17890043","52186412","34.28"
"Gujarat Narmada Valley Fertilizers and Chemicals Limited","155418783","64006713","    41.18","91412070","0","     0.00","     0.00","23-Nov-2020 11:30:05","5488632","148740894","3.69"
"Gujarat Pipavav Port Limited","483439910","212738931","    44.01","270700979","0","     0.00","     0.00","23-Nov-2020 11:30:28","3860923","482842186","0.8"
"Gujarat Raffia Industries Limited","5404500","2121685","    39.26","3282815","0","     0.00","     0.00","23-Nov-2020 11:30:16","8715","3259003","0.27"
"Gujarat Sidhee Cement Limited","88108870","61970201","    70.33","26138669","0","     0.00","     0.00","23-Nov-2020 11:30:30","1662962","87647862","1.9"
"Gujarat State Fertilizers & Chemicals Limited","398477530","150799905","    37.84","247677625","0","     0.00","     0.00","23-Nov-2020 11:30:14","15708287","390501592","4.02"
"Gujarat State Petronet Limited","564200837","212305270","    37.63","351895567","0","     0.00","     0.00","23-Nov-2020 11:30:21","2395888","564184426","0.42"
"Gulf Oil Lubricants India Limited","50177106","36219224","    72.18","13957882","0","     0.00","     0.00","23-Nov-2020 11:30:30","138774","49530784","0.28"
"Gyscoal Alloys Limited","158275560","102695160","    64.88","55580400","0","     0.00","     0.00","23-Nov-2020 11:30:28","3012882","158275530","1.9"
"HBL Power Systems Limited","277194946","161188500","    58.15","116006446","0","     0.00","     0.00","23-Nov-2020 11:30:23","5188350","274652242","1.89"
"HCL Infosystems Limited","329209928","207031161","    62.89","122178767","0","     0.00","     0.00","23-Nov-2020 11:30:17","6684999","327355981","2.04"
"HCL Technologies Limited","2713665096","1637190274","    60.33","1076474822","0","     0.00","     0.00","23-Nov-2020 11:30:17","7800604","2712701124","0.29"
"HDFC Bank Limited","5503704156","2192741359","    39.84","3310962797","0","     0.00","     0.00","23-Nov-2020 11:30:12","53963855","5491715906","0.98"
"HEG Limited","38595506","23010031","    59.62","15585475","0","     0.00","     0.00","23-Nov-2020 11:30:14","1100774","38152321","2.89"
"HFCL Limited","1284377194","510343812","    39.73","774033382","241548750","    47.33","    18.81","23-Nov-2020 11:30:28","419761685","1283908469","32.69"
"HIL Limited","7492543","3059212","    40.83","4433331",,,,"23-Nov-2020 11:30:13","295183","7435592","3.97"
"HLV LIMITED","630551766","298087074","    47.27","332464692","240442344","    80.66","    38.13","23-Nov-2020 11:30:11","243284849","626107125","38.86"
"HMT Limited","1204091640","1128056626","    93.69","76035014","0","     0.00","     0.00","23-Nov-2020 11:30:13","1189980","760224691","0.16"
"HOV Services Limited","12588972","6349829","    50.44","6239143","0","     0.00","     0.00","23-Nov-2020 11:30:22","273686","12521380","2.19"
