,comName,shp,totIssuedShares,totPromoterHolding,percPromoterHolding,totPublicHolding,totPromoterShares,percPromoterShares,percTotShares,disclosureFromDate,numSharesPledged,totDematShares,sharesCollateral,nbfcPromoShare,nbfcNonPromoShare,percSharesPledged,broadcastDt,disclosureToDate,compBroadcastDate
0,Sterling And Wilson Solar Limited,30-Sep-2020,160360000,123826180,    77.22,36533820,59718766,    48.23,    37.24,,63330845,160360000,0,0,0,39.49,23-Nov-2020 11:30:32,,20-09-2019
1,United Drilling Tools Limited,30-Sep-2020,20303126,15156660,    74.65,5146466,600000,     3.96,     2.96,,652752,19225561,0,0,0,3.4,23-Nov-2020 11:30:32,,
2,GB Global Limited,30-Sep-2020,3314295,1060965,    32.01,2253330,450,     0.04,     0.01,,37651,3314059,0,0,0,1.14,23-Nov-2020 11:30:32,,
3,Confidence Petroleum India Limited,30-Sep-2020,273835000,148310365,    54.16,125524635,1875000,     1.26,     0.68,,19510354,265011333,0,0,0,7.36,23-Nov-2020 11:30:32,,
4,Prakash Pipes Limited,30-Sep-2020,20418354,7961358,    38.99,12456996,3132545,    39.35,    15.34,,6385922,20244143,0,0,0,31.54,23-Nov-2020 11:30:32,,31-01-2020
5,Seya Industries Limited,30-Sep-2020,24600000,15675375,    63.72,8924625,0,     0.00,     0.00,,159121,23029950,0,0,0,0.69,23-Nov-2020 11:30:32,,
6,Satia Industries Limited,30-Sep-2020,100000000,51676390,    51.68,48323610,9022000,    17.46,     9.02,,966475,99221850,0,0,0,0.97,23-Nov-2020 11:30:32,,
7,Iifl Wealth Management Limited,30-Sep-2020,87363356,20100172,    23.01,67263184,,,,,1154852,87364405,0,0,0,1.32,23-Nov-2020 11:30:32,,
8,Kuantum Papers Limited,30-Sep-2020,87263630,61350690,    70.30,25912940,0,     0.00,     0.00,,7661941,84473470,0,0,0,9.07,23-Nov-2020 11:30:32,,13-04-2020
9,Apollo Pipes Limited,30-Sep-2020,13109402,6821400,    52.03,6288002,495000,     7.26,     3.78,,849726,13101752,0,0,0,6.49,23-Nov-2020 11:30:32,30-Sep-2020,08-10-2020
10,Ruchi Soya Industries Limited,30-Sep-2020,295841007,292709922,    98.94,3131085,292500000,    99.93,    98.87,,292651184,295722831,0,0,0,98.96,23-Nov-2020 11:30:32,,31-05-2016
11,Birla Tyres Limited,30-Sep-2020,142590079,75761340,    53.13,66828739,33959679,    44.82,    23.82,,43822878,141693117,0,0,0,30.93,23-Nov-2020 11:30:32,,
12,Capacit'e Infraprojects Limited,30-Sep-2020,67891497,29728846,    43.79,38162651,5000000,    16.82,     7.36,,6269671,67891490,0,0,0,9.23,23-Nov-2020 11:30:32,,11-12-2019
13,Jash Engineering Limited,30-Sep-2020,11836598,6371171,    53.83,5465427,403000,     6.33,     3.40,,500754,10778898,0,0,0,4.65,23-Nov-2020 11:30:32,,15-07-2019
14,Tirupati Forge Limited,30-Sep-2020,11200000,6439680,    57.50,4760320,3096000,    48.08,    27.64,,3434328,11200000,0,0,0,30.66,23-Nov-2020 11:30:32,,30-07-2020
15,TCPL Packaging Limited,30-Sep-2020,9100000,5071974,    55.74,4028026,0,     0.00,     0.00,,190583,8867244,0,0,0,2.15,23-Nov-2020 11:30:32,,08-06-2020
16,Tube Investments of India Limited,30-Sep-2020,187933615,89976189,    47.88,97957426,33200,     0.04,     0.02,,1057795,186822334,0,0,0,0.57,23-Nov-2020 11:30:32,,30-04-2015
17,Nippon Life India Asset Management Limited,30-Sep-2020,612471695,464706691,    75.87,147765004,,,,,8350887,612566103,0,0,0,1.36,23-Nov-2020 11:30:32,,30-09-2019
18,Diligent Media Corporation Limited,30-Sep-2020,117708018,73173769,    62.17,44534249,8830306,    12.07,     7.50,,9894560,117626038,0,0,0,8.41,23-Nov-2020 11:30:32,,19-12-2017
19,Shalby Limited,30-Sep-2020,108009770,86815904,    80.38,21193866,0,     0.00,     0.00,,4543081,107988017,0,0,0,4.21,23-Nov-2020 11:30:32,,
20,Future Supply Chain Solutions Limited,30-Sep-2020,43883598,10265917,    23.39,33617681,9765817,    95.13,    22.25,,10600391,43883592,0,0,0,24.16,23-Nov-2020 11:30:32,,15-09-2020
21,Astron Paper & Board Mill Limited,30-Sep-2020,46500000,21358250,    45.93,25141750,3100000,    14.51,     6.67,,5890084,46499690,0,0,0,12.67,23-Nov-2020 11:30:32,30-Sep-2020,25-08-2020
22,Apollo Micro Systems Limited,30-Sep-2020,20763886,13276700,    63.94,7487186,800000,     6.03,     3.85,,1376979,20753878,0,0,0,6.63,23-Nov-2020 11:30:32,,30-01-2018
23,Praxis Home Retail Limited,30-Sep-2020,27633208,17061605,    61.74,10571603,0,     0.00,     0.00,,167858,27584588,0,0,0,0.61,23-Nov-2020 11:30:32,,24-10-2019
24,Sintercom India Limited,30-Sep-2020,24202822,15876822,    65.60,8326000,200000,     1.26,     0.83,,1889464,24202822,0,0,0,7.81,23-Nov-2020 11:30:32,,17-08-2020
25,Kapston Facilities Management Limited,30-Sep-2020,10144061,7391695,    72.87,2752366,5173471,    69.99,    51.00,,5177773,10144061,0,0,0,51.04,23-Nov-2020 11:30:32,,12-02-2020
26,Centrum Capital Limited,30-Sep-2020,416032740,178177812,    42.83,237854928,78259180,    43.92,    18.81,,125055310,414406580,0,0,0,30.18,23-Nov-2020 11:30:32,,31-01-2020
27,Lemon Tree Hotels Limited,30-Sep-2020,792246464,247921794,    31.29,544324670,83546387,    33.70,    10.55,,121164282,767102660,0,0,0,15.8,23-Nov-2020 11:30:32,,08-07-2019
28,Orient Electric Limited,30-Sep-2020,212185502,81733294,    38.52,130452208,10450000,    12.79,     4.92,,13688209,211053731,0,0,0,6.49,23-Nov-2020 11:30:32,,31-03-2020
29,Adani Green Energy Limited,30-Sep-2020,1564014280,1171710710,    74.92,392303570,66972171,     5.72,     4.28,,84791953,1563825393,0,0,0,5.42,23-Nov-2020 11:30:32,30-Sep-2020,28-09-2020
30,Solara Active Pharma Sciences Limited,30-Sep-2020,35823267,15847370,    44.24,19975897,752000,     4.75,     2.10,,2856520,35883242,0,0,0,7.96,23-Nov-2020 11:30:32,30-Sep-2020,29-08-2020
31,Gayatri Highways Limited,30-Sep-2020,239651900,146554710,    61.15,93097190,146449310,    99.93,    61.11,,162655997,239649619,0,0,0,67.87,23-Nov-2020 11:30:32,,17-07-2018
32,Talwalkars Healthclubs Limited,30-Sep-2019,31004856,11537234,    37.21,19467622,9027000,    78.24,    29.11,,8045224,30991792,0,0,0,25.96,23-Nov-2020 11:30:32,,31-01-2019
33,JSW Ispat Special Products Limited,30-Sep-2020,469547534,349110785,    74.35,120436749,85057968,    24.36,    18.11,,88203591,469467805,0,0,0,18.79,23-Nov-2020 11:30:32,,27-12-2018
34,TREJHARA SOLUTIONS LIMITED,30-Sep-2020,11816298,3205611,    27.13,8610687,1454999,    45.39,    12.31,,1747634,11467894,0,0,0,15.24,23-Nov-2020 11:30:32,,
35,Dalmia Bharat Limited,30-Sep-2020,186792013,104731548,    56.07,82060465,0,     0.00,     0.00,,7154855,181900632,0,0,0,3.93,23-Nov-2020 11:30:32,,
36,Chalet Hotels Limited,30-Sep-2020,205023864,146411299,    71.41,58612565,47023720,    32.12,    22.94,,47732974,205023864,0,0,0,23.28,23-Nov-2020 11:30:32,,14-03-2019
37,The Anup Engineering Limited,30-Sep-2020,10208259,4253215,    41.66,5955044,0,     0.00,     0.00,,338410,10000325,0,0,0,3.38,23-Nov-2020 11:30:32,,17-03-2020
38,Arvind Fashions Limited,30-Sep-2020,98658711,39201557,    39.73,59457154,0,     0.00,     0.00,,1447832,98133553,0,0,0,1.48,23-Nov-2020 11:30:32,,17-03-2020
39,Cox & Kings Financial Service Limited,30-Sep-2019,72854454,37676844,    51.72,35177610,12615400,    33.48,    17.32,,13695710,72852020,0,0,0,18.8,23-Nov-2020 11:30:32,,
40,Metropolis Healthcare Limited,30-Sep-2020,50928926,25752991,    50.57,25175935,1400000,     5.44,     2.75,,1550634,50928924,0,0,0,3.04,23-Nov-2020 11:30:32,,25-04-2019
41,KPIT Technologies Limited,30-Sep-2020,274143808,121283044,    44.24,152860764,21011935,    17.32,     7.66,,24051624,273259004,0,0,0,8.8,23-Nov-2020 11:30:32,30-Sep-2020,31-03-2020
42,Alok Industries Limited,30-Sep-2020,4965240401,3723845177,    75.00,1241395224,,,,,71457193,4962793593,0,0,0,1.44,23-Nov-2020 11:30:32,,31-07-2013
43,Bafna Pharmaceuticals Limited,30-Sep-2020,23656335,21915205,    92.64,1741130,318254,     1.45,     1.35,,456930,23648295,0,0,0,1.93,23-Nov-2020 11:30:32,,31-10-2017
44,Max Healthcare Institute Limited,30-Sep-2020,904532524,680617329,    75.25,223915195,0,     0.00,     0.00,,2222226,904532524,0,0,0,0.25,23-Nov-2020 11:30:32,,31-08-2020
45,Max India Limited,30-Sep-2020,53786261,21991013,    40.89,31795248,17172820,    78.09,    31.93,,4109643,47826034,0,0,0,8.59,23-Nov-2020 11:30:32,30-Sep-2020,31-08-2018
46,Emami Paper Mills Limited,30-Sep-2020,60499050,45358286,    74.97,15140764,0,     0.00,     0.00,,246242,60242471,0,0,0,0.41,23-Nov-2020 11:30:32,,28-06-2019
47,JITF Infralogistics Limited,30-Sep-2020,25703706,16199637,    63.02,9504069,0,     0.00,     0.00,,332220,25384797,0,0,0,1.31,23-Nov-2020 11:30:31,,17-11-2017
48,Intense Technologies Limited,30-Sep-2020,22407949,4084744,    18.23,18323205,375000,     9.18,     1.67,,1891264,22271195,0,0,0,8.49,23-Nov-2020 11:30:31,,30-11-2017
49,N R Agarwal Industries Limited,30-Sep-2020,17019100,12516998,    73.55,4502102,0,     0.00,     0.00,,637849,16708279,0,0,0,3.82,23-Nov-2020 11:30:31,,15-03-2018
50,NACL Industries Limited,30-Sep-2020,192605261,121915859,    63.30,70689402,46773453,    38.37,    24.28,,48320491,189404393,0,0,0,25.51,23-Nov-2020 11:30:31,,
51,The Western India Plywoods Limited,30-Sep-2020,8487340,3478121,    40.98,5009219,349760,    10.06,     4.12,,123000,4086033,0,0,0,3.01,23-Nov-2020 11:30:31,,
52,Zota Health Care LImited,30-Sep-2020,24560327,17174078,    69.93,7386249,6117,     0.04,     0.02,,1808925,24394676,0,0,0,7.42,23-Nov-2020 11:30:31,,07-10-2020
53,Star Cement Limited,30-Sep-2020,412428997,277032631,    67.17,135396366,0,     0.00,     0.00,,1867817,411574963,0,0,0,0.45,23-Nov-2020 11:30:31,,19-02-2019
54,GTPL Hathway Limited,30-Sep-2020,112463038,84347278,    75.00,28115760,0,     0.00,     0.00,,1180131,112463038,0,0,0,1.05,23-Nov-2020 11:30:31,,31-12-2018
55,AU Small Finance Bank Limited,30-Sep-2020,306535329,88899206,    29.00,217636123,0,     0.00,     0.00,,4782433,306539741,0,0,0,1.56,23-Nov-2020 11:30:31,,26-10-2018
56,Shrenik Limited,30-Sep-2020,102000000,75013000,    73.54,26987000,10427649,    13.90,    10.22,,73194136,612000000,0,0,0,11.96,23-Nov-2020 11:30:31,30-Sep-2020,30-12-2019
57,STEEL EXCHANGE INDIA LIMITED,30-Sep-2020,75984812,36156567,    47.58,39828245,12075896,    33.40,    15.89,,12515496,72022964,0,0,0,17.38,23-Nov-2020 11:30:31,,28-12-2017
58,Avadh Sugar & Energy Limited,30-Sep-2020,20018420,12081672,    60.35,7936748,2879682,    23.84,    14.39,,3527987,19852817,0,0,0,17.77,23-Nov-2020 11:30:31,,
59,Palash Securities Limited,30-Sep-2020,10003102,6558643,    65.57,3444459,0,     0.00,     0.00,,288679,9939641,0,0,0,2.9,23-Nov-2020 11:30:31,,24-09-2019
60,Sintex Plastics Technology Limited,30-Sep-2020,631028422,77714461,    12.32,553313961,15100000,    19.43,     2.39,,47803753,628507825,0,0,0,7.61,23-Nov-2020 11:30:31,,30-12-2019
61,Optiemus Infracom Limited,30-Sep-2020,85814191,64300541,    74.93,21513650,21820000,    33.93,    25.43,,27635628,84838158,0,0,0,32.57,23-Nov-2020 11:30:31,,28-06-2019
62,Security and Intelligence Services (India) Limited,30-Sep-2020,146774062,108182746,    73.71,38591316,220096,     0.20,     0.15,,415250,146665662,0,0,0,0.28,23-Nov-2020 11:30:31,30-Sep-2020,02-11-2020
63,SMS Lifesciences India Limited,30-Sep-2020,3023287,2063141,    68.24,960146,179662,     8.71,     5.94,,274725,3012470,0,0,0,9.12,23-Nov-2020 11:30:31,,
64,Aditya Birla Capital Limited,30-Sep-2020,2414126632,1701288195,    70.47,712838437,0,     0.00,     0.00,,36190850,2383899156,0,0,0,1.52,23-Nov-2020 11:30:31,,22-03-2018
65,Bharat Road Network Limited,30-Sep-2020,83950000,45129800,    53.76,38820200,9999400,    22.16,    11.91,,15361368,83950000,0,0,0,18.3,23-Nov-2020 11:30:31,,30-11-2018
66,Lasa Supergenerics Limited,30-Sep-2020,40672668,26222090,    64.47,14450578,,,,,739683,40668687,0,0,0,1.82,23-Nov-2020 11:30:31,,10-01-2018
67,Cholamandalam Financial Holdings Limited,30-Sep-2020,187717982,91613929,    48.80,96104053,33200,     0.04,     0.02,,2091953,186599271,0,0,0,1.12,23-Nov-2020 11:30:31,,26-02-2019
68,MEP Infrastructure Developers Limited,30-Sep-2020,183446051,113200502,    61.71,70245549,100576844,    88.85,    54.83,,99494371,183446021,0,0,0,54.24,23-Nov-2020 11:30:31,30-Sep-2020,31-10-2019
69,Privi Speciality Chemicals Limited,30-Sep-2020,39062706,28928851,    74.06,10133855,0,     0.00,     0.00,,268915,38899516,0,0,0,0.69,23-Nov-2020 11:30:31,,23-06-2017
70,Brightcom Group Limited,30-Sep-2020,507651499,186627685,    36.76,321023814,59544862,    31.91,    11.73,,29008365,506643314,0,0,0,5.73,23-Nov-2020 11:30:31,,14-08-2020
71,UFO Moviez India Limited,30-Sep-2020,28350801,8656040,    30.53,19694761,2266417,    26.18,     7.99,,3598492,28329728,0,0,0,12.7,23-Nov-2020 11:30:31,,31-03-2020
72,PNC Infratech Limited,30-Sep-2020,256539165,143841000,    56.07,112698165,0,     0.00,     0.00,,3843830,256539160,0,0,0,1.5,23-Nov-2020 11:30:31,,
73,Alankit Limited,30-Sep-2020,142958100,101966776,    71.33,40991324,0,     0.00,     0.00,,1053538,141764860,0,0,0,0.74,23-Nov-2020 11:30:31,,23-11-2017
74,Manpasand Beverages Limited,30-Sep-2020,114462396,50745000,    44.33,63717396,50730000,    99.97,    44.32,,51562679,114462187,0,0,0,45.05,23-Nov-2020 11:30:31,,12-07-2019
75,Oricon Enterprises Limited,30-Sep-2020,157047715,104149709,    66.32,52898006,0,     0.00,     0.00,,2415339,156525284,0,0,0,1.54,23-Nov-2020 11:30:31,,31-07-2015
76,Shyam Century Ferrous Limited,30-Sep-2020,222172990,121053155,    54.49,101119835,0,     0.00,     0.00,,819159,221649603,0,0,0,0.37,23-Nov-2020 11:30:31,,25-05-2016
77,Adani Transmission Limited,30-Sep-2020,1099810083,823963481,    74.92,275846602,239869805,    29.11,    21.81,,325192224,1099529210,0,0,0,29.58,23-Nov-2020 11:30:31,30-Sep-2020,31-12-2018
78,Majesco Limited,30-Sep-2020,29882161,10988672,    36.77,18893489,450000,     4.10,     1.51,,1012307,29983127,0,0,0,3.38,23-Nov-2020 11:30:31,30-Sep-2020,30-07-2020
79,Satin Creditcare Network Limited,30-Sep-2020,72020477,27923639,    38.77,44096838,1398401,     5.01,     1.94,,3297899,51873948,0,0,0,6.36,23-Nov-2020 11:30:31,,29-06-2017
80,Arvind SmartSpaces Limited,30-Sep-2020,35553550,20999170,    59.06,14554380,45500,     0.22,     0.13,,924566,35291941,0,0,0,2.62,23-Nov-2020 11:30:31,,30-06-2020
81,Navkar Corporation Limited,30-Sep-2020,150519181,103898347,    69.03,46620834,9248347,     8.90,     6.14,,17608327,150519179,0,0,0,11.7,23-Nov-2020 11:30:31,,10-07-2019
82,Shree Pushkar Chemicals & Fertilisers Limited,30-Sep-2020,30836407,20507428,    66.50,10328979,0,     0.00,     0.00,,537580,30836402,0,0,0,1.74,23-Nov-2020 11:30:31,,
83,Sadbhav Infrastructure Project Limited,30-Sep-2020,352225216,247544474,    70.28,104680742,203010190,    82.01,    57.64,,200254320,352225213,0,0,0,56.85,23-Nov-2020 11:30:31,30-Sep-2020,29-10-2020
84,Prabhat Dairy Limited,30-Sep-2020,97676131,48935584,    50.10,48740547,1125000,     2.30,     1.15,,1933495,97676128,0,0,0,1.98,23-Nov-2020 11:30:31,,29-12-2017
85,Coffee Day Enterprises Limited,30-Sep-2020,211251719,32163416,    15.23,179088303,16901596,    52.55,     8.00,,16643964,211251637,0,0,0,7.88,23-Nov-2020 11:30:31,,31-01-2018
86,S H Kelkar and Company Limited,30-Sep-2020,141320801,88073246,    62.32,53247555,33000,     0.04,     0.02,,1849108,141320801,0,0,0,1.31,23-Nov-2020 11:30:31,,29-12-2017
87,Ashapura Intimates Fashion Limited,30-Sep-2020,25211406,3720692,    14.76,21490714,1924631,    51.73,     7.63,,2505249,25184590,0,0,0,9.95,23-Nov-2020 11:30:31,,30-07-2018
88,Kridhan Infra Limited,30-Sep-2020,94779205,44691160,    47.15,50088045,0,     0.00,     0.00,,2610398,94714180,0,0,0,2.76,23-Nov-2020 11:30:31,,11-04-2016
89,Jindal Stainless (Hisar) Limited,30-Sep-2020,235934685,136056314,    57.67,99878371,119321388,    87.70,    50.57,,124842024,232997059,0,0,0,53.58,23-Nov-2020 11:30:31,,30-03-2017
90,Teamlease Services Limited,30-Sep-2020,17096769,6859487,    40.12,10237282,84050,     1.23,     0.49,,112081,17095718,0,0,0,0.66,23-Nov-2020 11:30:31,,12-06-2019
91,Hi-Tech Pipes Limited,30-Sep-2020,10926100,6851883,    62.71,4074217,479600,     7.00,     4.39,,746100,10926100,0,0,0,6.83,23-Nov-2020 11:30:31,,30-09-2019
92,Kellton Tech Solutions Limited,30-Sep-2020,96382468,56832124,    58.97,39550344,18350000,    32.29,    19.04,,14498748,95687836,0,0,0,15.15,23-Nov-2020 11:30:31,30-Sep-2020,31-03-2020
93,Sequent Scientific Limited,30-Sep-2020,248370995,138768498,    55.87,109602497,0,     0.00,     0.00,,11587483,248333465,0,0,0,4.67,23-Nov-2020 11:30:31,,31-12-2018
94,Gokul Agro Resources Limited,30-Sep-2020,131895000,94695106,    71.80,37199894,15000000,    15.84,    11.37,,19683372,131888710,0,0,0,14.92,23-Nov-2020 11:30:31,,29-11-2016
95,Simbhaoli Sugars Limited,30-Sep-2020,41279020,22015790,    53.33,19263230,6632498,    30.13,    16.07,,8411668,40744592,0,0,0,20.64,23-Nov-2020 11:30:31,,08-11-2016
96,KDDL Limited,30-Sep-2020,11650108,5283932,    45.36,6366176,360000,     6.81,     3.09,,423021,11441918,0,0,0,3.7,23-Nov-2020 11:30:31,,12-12-2016
97,Bharat Wire Ropes Limited,30-Sep-2020,44952248,18084858,    40.23,26867390,12700000,    70.22,    28.25,,14316346,44952241,0,0,0,31.85,23-Nov-2020 11:30:31,,29-03-2019
98,Infibeam Avenues Limited,30-Sep-2020,664720260,217721220,    32.75,446999040,16192716,     7.44,     2.44,,132232668,664094890,0,0,0,19.91,23-Nov-2020 11:30:31,,27-10-2018
99,Crompton Greaves Consumer Electricals Limited,30-Sep-2020,627333935,164302579,    26.19,463031356,107741623,    65.58,    17.17,,75360402,623580023,0,0,0,12.09,23-Nov-2020 11:30:31,30-Sep-2020,30-06-2016
100,Parag Milk Foods Limited,30-Sep-2020,84114582,39037450,    46.41,45077132,4943000,    12.66,     5.88,,6143358,84114574,0,0,0,7.3,23-Nov-2020 11:30:31,30-Sep-2020,27-08-2019
101,Nagarjuna Fertilizers and Chemicals Limited,30-Jun-2020,598065003,341700129,    57.13,256364874,296072140,    86.65,    49.51,,299824255,576938049,0,0,0,51.97,23-Nov-2020 11:30:31,,20-09-2019
102,Max Ventures and Industries Limited,30-Sep-2020,146624062,72836286,    49.68,73787776,0,     0.00,     0.00,,1622563,146386776,0,0,0,1.11,23-Nov-2020 11:30:31,,31-08-2016
103,Uttam Value Steels Limited,30-Sep-2020,6608076335,3047361160,    46.12,3560715175,0,     0.00,     0.00,,127840348,6517523975,0,0,0,1.96,23-Nov-2020 11:30:31,,19-11-2013
104,Adhunik Industries Limited,30-Sep-2020,46763750,35054800,    74.96,11708950,23849513,    68.03,    51.00,,24159778,46763749,0,0,0,51.66,23-Nov-2020 11:30:31,,03-10-2018
105,Setco Automotive Limited,30-Sep-2020,133767275,79122588,    59.15,54644687,76295811,    96.43,    57.04,,78234972,132065780,0,0,0,59.24,23-Nov-2020 11:30:31,,29-06-2018
106,Mold-Tek Technologies Limited,30-Sep-2020,27954278,14070844,    50.34,13883434,150000,     1.07,     0.54,,315418,27845713,0,0,0,1.13,23-Nov-2020 11:30:31,,22-11-2018
107,Viji Finance Limited,30-Sep-2020,82500000,43090474,    52.23,39409526,3012000,     6.99,     3.65,,469156,81309400,0,0,0,0.58,23-Nov-2020 11:30:31,,25-09-2018
108,GPT Infraprojects Limited,30-Sep-2020,29086000,21814060,    75.00,7271940,14833860,    68.00,    51.00,,14904974,29085994,0,0,0,51.24,23-Nov-2020 11:30:31,,31-10-2018
109,Digjam Limited,30-Sep-2020,87641621,27527589,    31.41,60114032,3600205,    13.08,     4.11,,4514117,86936613,0,0,0,5.19,23-Nov-2020 11:30:31,,
110,Lloyds Steels Industries Limited,30-Sep-2020,898698382,414441116,    46.12,484257266,0,     0.00,     0.00,,16537884,890383910,0,0,0,1.86,23-Nov-2020 11:30:31,,25-07-2018
111,Stampede Capital Limited,30-Sep-2020,229011200,582071,     0.25,228429129,0,     0.00,     0.00,,13033203,228457140,0,0,0,5.7,23-Nov-2020 11:30:31,,21-02-2017
112,Advanced Enzyme Technologies Limited,30-Sep-2020,111678475,61922236,    55.45,49756239,0,     0.00,     0.00,,1178182,111129260,0,0,0,1.06,23-Nov-2020 11:30:31,,30-03-2017
113,Dilip Buildcon Limited,30-Sep-2020,136769768,102571368,    75.00,34198400,25881347,    25.23,    18.92,,27757729,136769668,0,0,0,20.3,23-Nov-2020 11:30:31,,27-02-2020
114,Future Retail Limited,30-Sep-2020,542284079,183611016,    33.86,358673063,126820361,    69.07,    23.39,,141277690,541315189,0,0,0,26.1,23-Nov-2020 11:30:31,30-Sep-2020,31-12-2019
115,Sab Events & Governance Now Media Limited,30-Sep-2020,10483711,3771214,    35.97,6712497,1528100,    40.52,    14.58,,3575828,10470295,0,0,0,34.15,23-Nov-2020 11:30:31,,21-08-2017
116,TV Vision Limited,30-Sep-2020,34944500,10383845,    29.72,24560655,6118000,    58.92,    17.51,,12285429,34899576,0,0,0,35.2,23-Nov-2020 11:30:31,,21-08-2017
117,GNA Axles Limited,30-Sep-2020,21465400,14491546,    67.51,6973854,2470000,    17.04,    11.51,,2757202,21465398,0,0,0,12.84,23-Nov-2020 11:30:31,30-Sep-2020,29-07-2019
118,Varun Beverages Limited,30-Sep-2020,288688720,191691041,    66.40,96997679,0,     0.00,     0.00,,3657799,288688429,0,0,0,1.27,23-Nov-2020 11:30:31,,16-06-2020
119,Agro Phos India Limited,30-Sep-2020,20274115,11002425,    54.27,9271690,1000000,     9.09,     4.93,,1522192,19799055,0,0,0,7.69,23-Nov-2020 11:30:31,,26-11-2018
120,High Ground Enterprise Limited,30-Jun-2019,115115949,57006068,    49.52,58109881,7000000,    12.28,     6.08,,8831626,110646169,0,0,0,7.98,23-Nov-2020 11:30:31,,22-10-2018
121,CMI Limited,30-Sep-2020,15027457,6605995,    43.96,8421462,0,     0.00,     0.00,,415825,14711641,0,0,0,2.83,23-Nov-2020 11:30:31,,26-11-2019
122,The Mandhana Retail Ventures Limited,30-Sep-2020,22082609,6252318,    28.31,15830291,3240485,    51.83,    14.67,,1113574,22081095,0,0,0,5.04,23-Nov-2020 11:30:31,30-Sep-2020,30-05-2019
123,Laurus Labs Limited,30-Sep-2020,535994995,172170665,    32.12,363824330,28275000,    16.42,     5.28,,76663638,535984960,0,0,0,14.3,23-Nov-2020 11:30:31,,31-12-2019
124,DFM Foods Limited,30-Sep-2020,50270880,37054137,    73.71,13216743,0,     0.00,     0.00,,1885531,49575195,0,0,0,3.8,23-Nov-2020 11:30:31,,22-10-2019
125,Tera Software Limited,30-Sep-2020,12511875,6010651,    48.04,6501224,3082420,    51.28,    24.64,,2997789,12449159,0,0,0,24.08,23-Nov-2020 11:30:31,,23-03-2019
126,Reliance Home Finance Limited,30-Sep-2020,485058818,240484799,    49.58,244574019,0,     0.00,     0.00,,10590724,481041169,0,0,0,2.2,23-Nov-2020 11:30:31,,28-11-2019
127,The Byke Hospitality Ltd,30-Sep-2020,40097800,18788282,    46.86,21309518,0,     0.00,     0.00,,2314119,39420478,0,0,0,5.87,23-Nov-2020 11:30:31,,28-06-2017
128,Avanti Feeds Limited,30-Sep-2020,136245630,59523349,    43.69,76722281,0,     0.00,     0.00,,3013417,134900774,0,0,0,2.23,23-Nov-2020 11:30:31,,17-08-2015
129,Vipul Limited,30-Sep-2020,119984480,76108717,    63.43,43875763,50200000,    65.96,    41.84,,54595274,119639725,0,0,0,45.63,23-Nov-2020 11:30:31,,31-08-2015
130,VRL Logistics Limited,30-Sep-2020,90343495,61480000,    68.05,28863495,0,     0.00,     0.00,,645152,90343439,0,0,0,0.71,23-Nov-2020 11:30:31,,
131,Future Lifestyle Fashions Limited,30-Sep-2020,201774874,41515094,    20.57,160259780,40950638,    98.64,    20.30,,42840640,201452495,0,0,0,21.27,23-Nov-2020 11:30:30,,30-07-2015
132,PIL ITALICA LIFESTYLE LIMITED,30-Sep-2020,235000000,155373400,    66.12,79626600,0,     0.00,     0.00,,4230131,233706400,0,0,0,1.81,23-Nov-2020 11:30:30,,
133,Lypsa Gems & Jewellery Limited,30-Sep-2020,21312228,10724500,    50.32,10587728,0,     0.00,     0.00,,304172,24857926,0,0,0,1.22,23-Nov-2020 11:30:30,,
134,Orbit Exports Limited,30-Sep-2020,27383065,18039723,    65.88,9343342,0,     0.00,     0.00,,2553360,27003674,0,0,0,9.46,23-Nov-2020 11:30:30,,
135,Jindal Poly Investment and Finance Company Limited,30-Sep-2020,10511929,7844687,    74.63,2667242,0,     0.00,     0.00,,108309,10440106,0,0,0,1.04,23-Nov-2020 11:30:30,,
136,CIL Nova Petrochemicals Limited,30-Sep-2020,27100000,20192292,    74.51,6907708,4082450,    20.22,    15.06,,4963229,26643726,0,0,0,18.63,23-Nov-2020 11:30:30,,15-04-2015
137,Sreeleathers Limited,30-Sep-2020,25155012,16738824,    66.54,8416188,0,     0.00,     0.00,,1231921,25084093,0,0,0,4.91,23-Nov-2020 11:30:30,,
138,Nath Bio-Genes (India) Limited,30-Sep-2020,19004000,7942342,    41.79,11061658,2884000,    36.31,    15.18,,7039016,18676389,0,0,0,37.69,23-Nov-2020 11:30:30,30-Sep-2020,31-03-2018
139,Agri-Tech (India) Limited,30-Sep-2020,5940000,2700795,    45.47,3239205,0,     0.00,     0.00,,94654,5639655,0,0,0,1.68,23-Nov-2020 11:30:30,,
140,RattanIndia Infrastructure Limited,30-Sep-2020,1382269592,1033236772,    74.75,349032820,0,     0.00,     0.00,,16853204,1382090987,0,0,0,1.22,23-Nov-2020 11:30:30,,
141,Prozone Intu Properties Limited,30-Sep-2020,152602883,46120167,    30.22,106482716,0,     0.00,     0.00,,2984121,152538741,0,0,0,1.96,23-Nov-2020 11:30:30,,23-08-2013
142,Morarjee Textiles Limited,30-Sep-2020,36332349,23206657,    63.87,13125692,0,     0.00,     0.00,,213800,35890161,0,0,0,0.6,23-Nov-2020 11:30:30,,
143,Kitex Garments Limited,30-Sep-2020,66500000,36956817,    55.57,29543183,0,     0.00,     0.00,,2005283,64982820,0,0,0,3.09,23-Nov-2020 11:30:30,,
